epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,26203,1.59982,1.82969,1.72627,0.46326,0.45614,0.37906,0.1477,2.03358,2.22828,2.16881,0.000614,0.000614,0.000614
72,26577.8,1.57138,1.84205,1.71916,0.44358,0.44737,0.38431,0.14332,2.06322,2.13803,2.17812,0.0005942,0.0005942,0.0005942
73,26949.8,1.57914,1.81702,1.7327,0.38188,0.43356,0.33928,0.12616,2.12377,2.23657,2.21446,0.0005744,0.0005744,0.0005744
74,27319.4,1.57942,1.81423,1.70955,0.37112,0.46074,0.36635,0.13559,2.0576,2.167,2.1591,0.0005546,0.0005546,0.0005546
75,27690.9,1.57128,1.81721,1.71396,0.3717,0.42105,0.34946,0.12558,2.08526,2.20608,2.18849,0.0005348,0.0005348,0.0005348
76,28064.1,1.55213,1.80984,1.69796,0.41196,0.39474,0.36727,0.12862,2.08606,2.22195,2.21961,0.000515,0.000515,0.000515
77,28437.1,1.57371,1.81725,1.71239,0.48825,0.46869,0.42694,0.15162,2.03164,2.08054,2.13037,0.0004952,0.0004952,0.0004952
78,28811.2,1.55811,1.80161,1.70326,0.48177,0.46491,0.39408,0.14486,1.99875,2.20418,2.12571,0.0004754,0.0004754,0.0004754
79,29181.7,1.55334,1.77757,1.69662,0.4175,0.40868,0.35191,0.12439,2.01805,2.23079,2.1201,0.0004556,0.0004556,0.0004556
80,29552.6,1.5499,1.79528,1.69523,0.45404,0.45614,0.37282,0.13429,2.02136,2.18247,2.14744,0.0004358,0.0004358,0.0004358
81,29925.5,1.55133,1.74169,1.68778,0.42462,0.45614,0.37288,0.13093,2.03375,2.13004,2.17926,0.000416,0.000416,0.000416
82,30294.4,1.54869,1.7803,1.69771,0.47116,0.46491,0.41932,0.15217,2.06815,2.12539,2.18243,0.0003962,0.0003962,0.0003962
83,30664.4,1.53667,1.75764,1.6859,0.41352,0.47368,0.34923,0.12942,2.05527,2.2197,2.19238,0.0003764,0.0003764,0.0003764
84,31033.3,1.55377,1.74643,1.69816,0.39853,0.52892,0.40331,0.14218,2.04017,2.0892,2.15978,0.0003566,0.0003566,0.0003566
85,31403.5,1.52212,1.72976,1.66508,0.40231,0.53142,0.40445,0.14861,2.09076,2.1135,2.19079,0.0003368,0.0003368,0.0003368
86,31777.6,1.52819,1.72253,1.68192,0.39877,0.48246,0.37827,0.13826,2.08659,2.09708,2.20928,0.000317,0.000317,0.000317
87,32149.6,1.51991,1.71754,1.66858,0.40852,0.50877,0.37637,0.14977,2.05919,2.09669,2.17769,0.0002972,0.0002972,0.0002972
